sol(p1=2277, p2=3344) w=750 :
sol(p1=2305, p2=3343) w=750 :
sol(p1=2328, p2=3339) w=750 :
sol(p1=2368, p2=3336) w=750 :
sol(p1=2375, p2=3334) w=749 :
sol(p1=2392, p2=3330) w=750 :
sol(p1=2416, p2=3327) w=750 :
sol(p1=2423, p2=3325) w=750 :
sol(p1=2431, p2=3321) w=748 :
sol(p1=2443, p2=3317) w=750 :
sol(p1=2468, p2=3315) w=750 :
sol(p1=2484, p2=3312) w=750 :
sol(p1=2491, p2=3306) w=750 :
sol(p1=2504, p2=3304) w=750 :
sol(p1=2510, p2=3301) w=750 :
sol(p1=2514, p2=3300) w=749 :
sol(p1=2519, p2=3299) w=748 :
sol(p1=2523, p2=3296) w=749 :
sol(p1=2529, p2=3293) w=750 :
sol(p1=2545, p2=3290) w=750 :
sol(p1=2551, p2=3286) w=750 :
sol(p1=2556, p2=3285) w=750 :
sol(p1=2563, p2=3279) w=750 :
sol(p1=2564, p2=3277) w=748 :
sol(p1=2564, p2=3277) w=748 :
sol(p1=2565, p2=3274) w=750 :
sol(p1=2569, p2=3272) w=749 :
sol(p1=2581, p2=3271) w=750 :
sol(p1=2583, p2=3267) w=750 :
sol(p1=2591, p2=3266) w=750 :
sol(p1=2596, p2=3264) w=750 :
sol(p1=2598, p2=3260) w=750 :
sol(p1=2603, p2=3259) w=750 :
sol(p1=2611, p2=3250) w=749 :
sol(p1=2615, p2=3247) w=750 :
sol(p1=2617, p2=3243) w=750 :
sol(p1=2623, p2=3242) w=749 :
sol(p1=2625, p2=3240) w=750 :
sol(p1=2627, p2=3239) w=750 :
sol(p1=2630, p2=3236) w=749 :
sol(p1=2635, p2=3235) w=749 :
sol(p1=2637, p2=3230) w=748 :
sol(p1=2643, p2=3226) w=748 :
sol(p1=2645, p2=3224) w=750 :
sol(p1=2647, p2=3223) w=749 :
sol(p1=2654, p2=3222) w=750 :
sol(p1=2655, p2=3217) w=749 :
sol(p1=2662, p2=3216) w=750 :
sol(p1=2669, p2=3209) w=750 :
sol(p1=2670, p2=3206) w=750 :
sol(p1=2679, p2=3201) w=750 :
sol(p1=2680, p2=3196) w=750 :
sol(p1=2684, p2=3195) w=749 :
sol(p1=2690, p2=3191) w=750 :
sol(p1=2696, p2=3182) w=749 :
sol(p1=2704, p2=3176) w=750 :
